Symbol,Gene_symbol,IPI_accession,IPIs,Description,Protein_length,hESC_SpC,hNSC_SpC,NSAF_SpC_ratio,hESC_G_mean,hESC_Ln_NSAF,hESC_RSD_pct,hNSC_G_mean,hNSC_Ln_NSAF,hNSC_RSC_pct,t_test_p,color
AMPD2,AMPD2,IPI00007722,IPI00215826;IPI00942246;IPI00184670;IPI00215827;IPI00007722,Adenosine monophosphate deaminase 2,890,"( 3 ,7 ,13 )","( 11 ,15 ,20 )",0.428920541,1.12625e-05,-11.39403153,4.61408066,2.62578e-05,-10.54754793,1.162897077,0.05311484,gray
AHCY,AHCY,IPI00012007,IPI00012007,Adenosylhomocysteinase,432,"( 229 ,272 ,524 )","( 174 ,178 ,330 )",1.447743562,0.001130669,-6.784945605,2.555502432,0.000780987,-7.154951785,2.236584106,0.053170232,gray
GLRX3,GLRX3,IPI00008552,IPI00008552,Glutaredoxin-3,335,"( 97 ,91 ,147 )","( 82 ,90 ,112 )",1.142597213,0.00049763,-7.60565441,0.84755278,0.000435525,-7.738958337,0.715944987,0.053186738,gray
ZNF185,ZNF185,IPI00646811,IPI00646811;IPI00647837;IPI00939196;IPI00939842;IPI00902921;IPI00921909;IPI00641065;IPI00166240;IPI00005688;IPI00385027,Zinc finger protein 185 variant 692,692,"( 2 ,7 ,2 )","( 9 ,19 ,13 )",0.216750289,6.56169e-06,-11.93426305,7.506962669,3.0273e-05,-10.40525372,3.739347863,0.053209017,gray
MAT2A,MAT2A,IPI00010157,IPI00010157,S-adenosylmethionine synthase isoform type-2,395,"( 100 ,108 ,185.389 )","( 71.5686 ,105 ,120.702 )",1.280074341,0.000487693,-7.625824008,0.931437361,0.000380988,-7.872742163,1.785380849,0.053212843,gray
WHSC1,WHSC1,IPI00218240,IPI00334604;IPI00107486;IPI00790144;IPI00218240;IPI00470433,Isoform 1 of Probable histone-lysine N-methyltransferase NSD2,1365,"( 1 ,2 ,0 )","( 6 ,20 ,4 )",0.121391575,1.16455e-06,-13.66317415,7.127028862,9.59335e-06,-11.55444035,8.060151838,0.053214198,gray
UCHL3,UCHL3,IPI00011250,IPI00011250,Ubiquitin carboxyl-terminal hydrolase isozyme L3,230,"( 28 ,30 ,42 )","( 30 ,39 ,62 )",0.773140559,0.00021795,-8.431246291,0.584472101,0.000281902,-8.173951879,1.91531516,0.053232423,gray
PSIP1,PSIP1,IPI00028122,IPI00028122,Isoform 1 of PC4 and SFRS1-interacting protein,530,"( 97.9008 ,95.0925 ,111.564 )","( 113.53 ,122.395 ,170.46 )",0.746896092,0.000292045,-8.138601546,2.280921434,0.000391012,-7.846772342,0.195050907,0.053308525,gray
PCM1,PCM1,IPI00006213,IPI00953308;IPI00795923;IPI00872566;IPI00006213;IPI00941597,Isoform 1 of Pericentriolar material 1 protein,2024,"( 23 ,27 ,17.0861 )","( 34.9444 ,57.9231 ,50 )",0.441560923,1.70705e-05,-10.97815729,4.370158231,3.86595e-05,-10.16071801,2.023875743,0.053318526,gray
RPL5,RPL5,IPI00000494,IPI00000494,60S ribosomal protein L5,297,"( 304 ,347 ,612 )","( 243 ,241 ,441 )",1.334254774,0.002064444,-6.182894549,1.743873968,0.001547263,-6.471267464,2.306712376,0.05337863,gray
GPSM1,GPSM1,IPI00941917,IPI00941917;IPI00004948;IPI00956562,Isoform 1 of G-protein-signaling modulator 1,675,"( 4 ,2 ,6 )","( 5 ,6 ,11 )",0.523734566,8.59391e-06,-11.66445686,3.156851904,1.64089e-05,-11.01768658,1.699443908,0.053396456,gray
ADI1,ADI1,IPI00651738,IPI00651738,"Isoform 1 of 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",179,"( 20 ,24 ,23 )","( 38 ,41 ,36 )",0.571883941,0.000190127,-8.567816347,2.83211943,0.000332458,-8.008997138,3.269836028,0.053430518,gray
VGLL4,VGLL4,IPI00794952,IPI00797515;IPI00430440;IPI00794952;IPI00924954;IPI00925627;IPI00795915;IPI00796548;IPI00925947;IPI00927446;IPI00430439;IPI00795570;IPI00927718,transcription cofactor vestigial-like protein 4 isoform a,296,"( 2 ,2 ,0 )","( 7 ,4 ,10 )",0.173923594,6.50568e-06,-11.94283482,8.93434752,3.74054e-05,-10.19369563,3.338789288,0.053457274,gray
XRCC1,XRCC1,IPI00002564,IPI00002564,DNA repair protein XRCC1,633,"( 25 ,24 ,21 )","( 49 ,40 ,46 )",0.510183977,5.61859e-05,-9.786843865,3.641338574,0.000110129,-9.113859986,2.648842188,0.053591607,gray
MIER3,MIER3;MIER2,IPI00657688,IPI00657688;IPI00879110;IPI00297301;IPI00465053;IPI00657714,Isoform 2 of Mesoderm induction early response protein 3,555,"( 2 ,0 ,1 )","( 3 ,3 ,4 )",0.297741691,2.7539e-06,-12.80249365,6.036219678,9.24928e-06,-11.59096467,0.578623006,0.053616859,gray
NSUN2,NSUN2,IPI00306369,IPI00306369;IPI00966877,tRNA (cytosine-5-)-methyltransferase NSUN2,767,"( 123 ,135 ,237 )","( 93 ,112 ,178 )",1.263463572,0.000314611,-8.064172981,1.110152134,0.000249007,-8.298029798,1.446607269,0.053811315,gray
GARS,GARS,IPI00783097,IPI00917627;IPI00783097,Glycyl-tRNA synthetase,739,"( 255 ,233 ,354 )","( 206 ,206 ,277 )",1.181893475,0.000571887,-7.466569817,1.221766099,0.000483873,-7.633687609,0.737785557,0.054092304,gray
FRG1,FRG1,IPI00004655,IPI00004655,Protein FRG1,258,"( 3 ,3 ,10 )","( 6 ,11 ,19 )",0.408560036,2.65482e-05,-10.53654825,4.111041065,6.49799e-05,-9.64143184,3.919111846,0.054168028,gray
DDB1,DDB1;LOC100290337,IPI00293464,IPI00909008;IPI00293464,DNA damage-binding protein 1,1140,"( 188 ,189 ,284 )","( 223 ,218 ,396 )",0.790533148,0.0002898,-8.146320179,0.491200733,0.000366588,-7.911272489,1.839397842,0.054216846,gray
ZBED1,ZBED1,IPI00006203,IPI00006203,Zinc finger BED domain-containing protein 1,694,"( 7.875 ,6 ,8 )","( 13 ,9 ,15 )",0.589314045,1.59238e-05,-11.04769716,2.203484042,2.70209e-05,-10.51890111,2.251797359,0.054261678,gray
BPTF,BPTF,IPI00785110,IPI00785110;IPI00384109;IPI00254408;IPI00376404,Isoform 1 of Nucleosome-remodeling factor subunit BPTF,3046,"( 11 ,15 ,9 )","( 22 ,22 ,18.8824 )",0.475907078,6.03547e-06,-12.01785709,3.933406281,1.2682e-05,-11.27532443,0.608368506,0.054440617,gray
AZI1,AZI1,IPI00298883,IPI00549517;IPI00651721;IPI00298883;IPI00896446,Isoform 1 of 5-azacytidine-induced protein 1,1083,"( 0 ,1 ,3 )","( 2 ,4 ,8 )",0.281348819,1.61551e-06,-13.33586015,4.890900022,5.74202e-06,-12.06770012,4.064917839,0.054470318,gray
CRLF3,CRLF3,IPI00295387,IPI00295387,Cytokine receptor-like factor 3,442,"( 6 ,4 ,4 )","( 7 ,11 ,30 )",0.340534428,1.58335e-05,-11.0533847,4.048266207,4.64959e-05,-9.976145652,5.325325859,0.054754091,gray
PLCG1,PLCG1,IPI00383849,IPI00383849;IPI00016736;IPI00745182,"Isoform 2 of 1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-1",1291,"( 60 ,88 ,81 )","( 111 ,119 ,133 )",0.608840657,9.256e-05,-9.287653621,3.03286771,0.000152027,-8.791454928,1.72338427,0.054785131,gray
RFWD3,RFWD3,IPI00478737,IPI00478737;IPI00910171,E3 ubiquitin-protein ligase RFWD3,774,"( 5 ,8 ,4 )","( 1 ,0 ,3 )",4.452967819,1.08904e-05,-11.42762942,5.047839874,2.44565e-06,-12.92120022,5.979842944,0.054902053,gray
DECR1,DECR1,IPI00003482,IPI00003482,"2,4-dienoyl-CoA reductase, mitochondrial",335,"( 21 ,30 ,32 )","( 10 ,14 ,27 )",1.717675311,0.000124173,-8.993836792,2.12421941,7.22912e-05,-9.534808605,3.064715745,0.054969352,gray
PDCL,PDCL,IPI00298409,IPI00639871;IPI00298409,Phosducin-like protein,301,"( 4 ,2 ,2 )","( 5 ,11 ,8 )",0.329947961,1.31796e-05,-11.23683779,5.433570277,3.99446e-05,-10.12801745,3.697754201,0.055024233,gray
MDC1,MDC1,IPI00552897,IPI00470805;IPI00552897;IPI00894221;IPI00937211;IPI00939838;IPI00953089;IPI00895860;IPI00641106,Isoform 1 of Mediator of DNA damage checkpoint protein 1,2089,"( 5 ,14 ,3.75 )","( 26 ,34 ,24.1667 )",0.223293052,4.7845e-06,-12.25012936,7.349167815,2.1427e-05,-10.75085912,3.340914597,0.055032951,gray
C17orf63,C17orf63,IPI00291010,IPI00291010,Uncharacterized protein C17orf63,562,"( 5 ,2 ,8 )","( 1 ,2 ,2 )",2.668606842,1.17184e-05,-11.35435042,4.945513471,4.3912e-06,-12.33590698,2.388018823,0.055063719,gray
RBMX,RBMX,IPI00304692,IPI00939558;IPI00304692;IPI00816796,Heterogeneous nuclear ribonucleoprotein G,391,"( 29 ,44.1176 ,67 )","( 50.4457 ,52.8511 ,85 )",0.71147202,0.00017262,-8.664420269,2.34261955,0.000242623,-8.324001081,1.014047953,0.055076536,gray
SEC24A,SEC24A,IPI00873472,IPI00873472,Isoform 1 of Protein transport protein Sec24A,1093,"( 39 ,47 ,52 )","( 15 ,23 ,45 )",1.800192805,6.38767e-05,-9.658555479,1.68781187,3.54833e-05,-10.24644925,3.349377129,0.055176289,gray
LANCL1,LANCL1,IPI00925884,IPI00925884;IPI00005724,LANCL1 protein (Fragment),399,"( 20 ,14 ,11 )","( 28 ,42 ,38 )",0.403082905,5.57337e-05,-9.794925239,5.59794706,0.000138269,-8.886312221,2.384173658,0.055242662,gray
DDX23,DDX23,IPI00006725,IPI00903057;IPI00006725,Probable ATP-dependent RNA helicase DDX23,820,"( 20 ,11 ,11 )","( 30.8966 ,38.7879 ,32 )",0.391404799,2.50244e-05,-10.59565727,5.172434156,6.3935e-05,-9.657644308,2.703408624,0.055321962,gray
WDR36,WDR36,IPI00966173,IPI00966173;IPI00169325,105 kDa protein,951,"( 8 ,14 ,16 )","( 5 ,8 ,5 )",2.041942524,1.95212e-05,-10.84401063,2.293819565,9.5601e-06,-11.5579122,3.371377436,0.055479643,gray
SPAG7,SPAG7,IPI00006863,IPI00006863;IPI00794341,Sperm-associated antigen 7,293,"( 18 ,12 ,22 )","( 18 ,30 ,36 )",0.614706227,8.76998e-05,-9.34159118,2.538099895,0.000142669,-8.854980374,2.350099165,0.055677771,gray
CYHR1,CYHR1,IPI00889783,IPI00889572;IPI00889783,Isoform 1 of Cysteine and histidine-rich protein 1,362,"( 0 ,2 ,0 )","( 2 ,4 ,7 )",0.203955977,3.35112e-06,-12.6062161,7.442817339,1.64306e-05,-11.016365,3.915427385,0.055747875,gray
CDK5RAP1,CDK5RAP1,IPI00328276,IPI00328276;IPI00328277;IPI00306312;IPI00328278;IPI00514343,Isoform 1 of CDK5 regulatory subunit-associated protein 1,601,"( 4 ,5 ,6 )","( 0 ,3 ,1 )",4.2624757,1.28297e-05,-11.26374435,1.152895134,3.00993e-06,-12.71359449,7.34619964,0.055924289,gray
DNAJC17,DNAJC17,IPI00018798,IPI00018798,DnaJ homolog subfamily C member 17,304,"( 7 ,10 ,10 )","( 4 ,6 ,4 )",1.906410546,4.46409e-05,-10.01686014,2.165957786,2.34162e-05,-10.66208232,3.363252372,0.055963677,gray
GATC,GATC,IPI00013832,IPI00013832;IPI00796106,GatC-like protein,136,"( 6 ,6 ,7 )","( 0 ,1 ,5 )",4.586789756,7.14279e-05,-9.546822538,1.913737869,1.55725e-05,-11.07000292,8.813737372,0.056121643,gray
GJA1,GJA1,IPI00218487,IPI00218487;IPI00940619,Gap junction alpha-1 protein,382,"( 35 ,47 ,64 )","( 26 ,26 ,17 )",2.060065533,0.000189734,-8.569889136,1.341083044,9.21008e-05,-9.29262693,4.909046899,0.056216145,gray
CDC42SE2,CDC42SE2,IPI00024973,IPI00965381;IPI00024973,CDC42 small effector protein 2,84,"( 2 ,4 ,5 )","( 0 ,2 ,0 )",4.261999689,6.26071e-05,-9.678631406,3.399723123,1.46896e-05,-11.12836987,7.958839759,0.056226582,gray
C9orf64,C9orf64,IPI00170972,IPI00643582;IPI00647890;IPI00170972,UPF0553 protein C9orf64,341,"( 0 ,1 ,5 )","( 5 ,4 ,14 )",0.196326009,6.22949e-06,-11.98621564,8.026135887,3.17303e-05,-10.35823695,4.321589814,0.056243681,gray
KIAA0892,MAU2,IPI00000656,IPI00843937;IPI00935784;IPI00000656;IPI00790071,Isoform 1 of Cohesin loading complex subunit SCC4 homolog,613,"( 0 ,1 ,2 )","( 2 ,2 ,8 )",0.305124491,2.49333e-06,-12.90189027,3.572116898,8.17153e-06,-11.71485485,5.296648567,0.056269368,gray
KHDRBS1,KHDRBS1,IPI00008575,IPI00008575,"Isoform 1 of KH domain-containing, RNA-binding, signal transduction-associated protein 1",443,"( 48 ,60 ,55 )","( 86.9524 ,79 ,93 )",0.617628963,0.000186676,-8.586137318,3.046794115,0.000302246,-8.104269932,2.141632267,0.056437422,gray
CACNA2D2,CACNA2D2,IPI00946159,IPI00946159;IPI00796052;IPI00479758;IPI00794137;IPI00871339;IPI00410600;IPI00939788;IPI00794469,Putative uncharacterized protein CACNA2D2,1153,"( 4 ,0 ,0 )","( 6 ,13 ,8.88889 )",0.111077747,1.3256e-06,-13.53364803,10.20896785,1.1934e-05,-11.33612313,3.459534301,0.056446162,gray
PAK4,PAK4,IPI00014068,IPI00384231;IPI00014068,Isoform 1 of Serine/threonine-protein kinase PAK 4,591,"( 9.625 ,15 ,15 )","( 14 ,25.6 ,28 )",0.586839774,3.36152e-05,-10.30053285,2.255994055,5.72817e-05,-9.767529394,2.650789151,0.056737758,gray
RBM8A,RBM8A,IPI00001757,IPI00216659;IPI00001757,Isoform 1 of RNA-binding protein 8A,174,"( 14 ,5 ,18 )","( 23 ,30 ,28 )",0.395725787,9.48742e-05,-9.26295901,6.222535992,0.000239747,-8.335925246,2.272837585,0.05701188,gray
DAXX,DAXX,IPI00915456,IPI00170867;IPI00915456;IPI00220885,death domain-associated protein 6 isoform b,752,"( 11 ,8 ,6 )","( 2 ,4 ,2 )",3.160806291,1.65383e-05,-11.00983352,5.031789422,5.23229e-06,-12.16066067,4.199225557,0.057131004,gray
NHSL1,NHSL1,IPI00455733,IPI00414367;IPI00455733,NHS-like protein 1,1652,"( 10 ,23 ,13 )","( 0 ,4 ,5 )",6.574028431,1.33287e-05,-11.22559098,4.646849071,2.02748e-06,-13.10871778,8.537269113,0.057157117,gray
MOCS3,MOCS3,IPI00004489,IPI00004489,Adenylyltransferase and sulfurtransferase MOCS3,460,"( 3 ,6 ,4 )","( 11 ,8 ,9 )",0.442056198,1.38227e-05,-11.18919551,3.868714547,3.12692e-05,-10.37287725,3.027986777,0.05728963,gray
PTPN1,PTPN1,IPI00297261,IPI00297261,Tyrosine-protein phosphatase non-receptor type 1,435,"( 28 ,34 ,53 )","( 36 ,39.3171 ,67 )",0.79663428,0.000129834,-8.949252341,0.906831539,0.000162978,-8.721892764,1.435561785,0.057616555,gray
PDLIM5,PDLIM5,IPI00007935,IPI00553102;IPI00966347;IPI00007935,Isoform 1 of PDZ and LIM domain protein 5,596,"( 128 ,183 ,188 )","( 83 ,117 ,94 )",1.654570869,0.00042066,-7.773685749,2.647570732,0.000254241,-8.277227431,3.125672438,0.057646907,gray
PTPRA,PTPRA,IPI00743698,IPI00304030;IPI00843944;IPI00221067;IPI00939451;IPI00743698,"cDNA FLJ56484, highly similar to Receptor-type tyrosine-protein phosphatase alpha",813,"( 0 ,1 ,5 )","( 5 ,4 ,10 )",0.228162538,2.55151e-06,-12.87882656,7.16482255,1.11828e-05,-11.40112954,2.668581971,0.057675914,gray
GULP1,GULP1,IPI00790010,IPI00915753;IPI00790010,Isoform 1 of PTB domain-containing engulfment adapter protein 1,304,"( 32 ,25 ,24 )","( 8 ,14 ,19 )",2.046683726,0.000134628,-8.912997959,4.385636704,6.57784e-05,-9.629218747,2.721106538,0.05773129,gray
RBM26,RBM26,IPI00942458,IPI00827541;IPI00942458;IPI00329545,Isoform 1 of RNA-binding protein 26,1007,"( 22.5454 ,37.4615 ,35 )","( 58.2353 ,49.75 ,53.16 )",0.566906297,4.74361e-05,-9.956126045,2.735126415,8.36755e-05,-9.388564796,2.714775346,0.057805053,gray
RIPK1,RIPK1,IPI00013773,IPI00013773;IPI00939198,Isoform 1 of Receptor-interacting serine/threonine-protein kinase 1,671,"( 13 ,7 ,9 )","( 0 ,3 ,4 )",5.078977752,2.13831e-05,-10.75290977,4.21499407,4.21012e-06,-12.37801979,7.838101992,0.057996656,gray
MORC3,MORC3,IPI00436705,IPI00436705;IPI00937306,MORC family CW-type zinc finger 3,940,"( 3 ,4 ,3 )","( 9 ,12 ,6 )",0.375131129,5.36884e-06,-12.13489827,3.00014401,1.43119e-05,-11.15441863,4.78497523,0.058178137,gray
CYFIP2,CYFIP2,IPI00719600,IPI00719600;IPI00922002,Isoform 2 of Cytoplasmic FMR1-interacting protein 2,1253,"( 8.68421 ,5.76923 ,12.2787 )","( 25 ,10.7027 ,48.8571 )",0.354939321,1.03742e-05,-11.47618433,2.11813686,2.92282e-05,-10.4403759,6.112407566,0.05818377,gray
EXTL3,EXTL3,IPI00015135,IPI00015135,Exostosin-like 3,919,"( 2 ,4 ,6 )","( 0 ,0 ,3 )",3.932490824,6.04421e-06,-12.01641003,2.977124601,1.53699e-06,-13.38568305,6.192792139,0.058194024,gray
MTCH1,MTCH1,IPI00386258,IPI00514366;IPI00479697;IPI00554789;IPI00386258,Isoform 1 of Mitochondrial carrier homolog 1,389,"( 18 ,18 ,18 )","( 21 ,26 ,35 )",0.661439756,7.07235e-05,-9.556732353,2.777688168,0.000106924,-9.143395981,0.664887765,0.058215474,gray
AK2,AK2,IPI00215901,IPI00218988;IPI00215901;IPI00922165,"Isoform 1 of Adenylate kinase 2, mitochondrial",239,"( 55 ,54 ,98 )","( 42 ,30 ,64 )",1.508547951,0.000423946,-7.765903836,1.108132624,0.000281029,-8.177051402,3.143153763,0.058298763,gray
